M_FR_F_OTH,M_FR,"4,75","4,03"
M_FR_G20,M_FR,"10,62","9,69"
M_FR_G30,M_FR,"17,64","16,41"
M_FR_G_H,M_FR,"45,71","42,18"
M_FR_G_H_OTH,M_FR,"17,44","16,08"
M_FR_I,M_FR,"208,8","201,39"
M_FR_I20-I25,M_FR,"62,77","60,82"
M_FR_I20_I23-I25,M_FR,"35,57","33,84"
M_FR_I21_I22,M_FR,"27,2","26,98"
M_FR_I30-I51,M_FR,"71,46","68,01"
M_FR_I60-I69,M_FR,"41,24","40,53"
M_FR_I_OTH,M_FR,"33,33","32,03"
M_FR_J,M_FR,"66,12","57,42"
M_FR_J09-J11,M_FR,"2,35","0,54"
M_FR_J12-J18,M_FR,"18,97","16,47"
M_FR_J40-J44_J47,M_FR,"20,1","17,55"
M_FR_J40-J47,M_FR,"21,01","18,43"
M_FR_J45_J46,M_FR,"0,9","0,88"
M_FR_J_OTH,M_FR,"23,79","21,98"
M_FR_K,M_FR,"39,86","39,05"
M_FR_K25-K28,M_FR,"1,38","1,35"
M_FR_K70_K73_K74,M_FR,"15,83","15,57"
M_FR_K_OTH,M_FR,"22,65","22,13"
M_FR_L,M_FR,"1,53","1,18"
M_FR_M,M_FR,"5,1","4,97"
M_FR_M_OTH,M_FR,"4,66","4,56"
M_FR_N,M_FR,"15,32","13,84"
M_FR_N00-N29,M_FR,"11,12","10,25"
M_FR_N_OTH,M_FR,"4,2","3,59"
M_FR_P,M_FR,"2,78","2,61"
M_FR_Q,M_FR,"2,78","2,44"
M_FR_R,M_FR,"77,57","72,75"
M_FR_R95,M_FR,"0,3","0,32"
M_FR_R96-R99,M_FR,"41,38","40,24"
M_FR_RHEUM_ARTHRO,M_FR,"0,44","0,41"
M_FR_R_OTH,M_FR,"35,89","32,19"
M_FR_TOXICO,M_FR,"0,46","0,34"
M_FR_V01-Y89,M_FR,"72,07","67,75"
M_FR_V01-Y89_OTH,M_FR,"1,26","1,28"
M_FR_V_Y85,M_FR,"7,66","7,91"
M_FR_W00-W19,M_FR,"11,25","10,14"
M_FR_W65-W74,M_FR,"1,99",2
M_FR_X40-X49,M_FR,"3,56","3,68"
