CODE_DIFF,FR_DESC
Y45-49,De 45 à 49 ans
Y45-54,De 45 à 54 ans
Y45-59,De 45 à 59 ans
Y45-64,De 45 à 64 ans
Y_GE45,45 ans ou plus
Y46,46 ans
Y47,47 ans
Y48,48 ans
Y_GE48,48 ans ou plus
Y49,49 ans
Y_GE49,49 ans ou plus
Y50,50 ans
Y50-54,De 50 à 54 ans
Y50-59,De 50 à 59 ans
Y50-64,De 50 à 64 ans
Y50-69,De 50 à 69 ans
Y50-74,De 50 à 74 ans
Y50-89,De 50 à 89 ans
Y_GE50,50 ans ou plus
Y51,51 ans
Y_GE51,51 ans ou plus
Y52,52 ans
Y53,53 ans
Y54,54 ans
Y55,55 ans
Y55-59,De 55 à 59 ans
Y55-64,De 55 à 64 ans
Y55-69,De 55 à 69 ans
Y55-74,De 55 à 74 ans
Y55-89,De 55 à 89 ans
Y_GE55,55 ans ou plus
Y56,56 ans
Y_GE56,56 ans ou plus
Y57,57 ans
Y58,58 ans
Y59,59 ans
Y_LT60,Moins de 60 ans
Y60,60 ans
Y60-64,De 60 à 64 ans
Y60-69,De 60 à 69 ans
Y60-74,De 60 à 74 ans
Y60-79,De 60 à 79 ans
Y_GE60,60 ans ou plus
Y61,61 ans
Y62,62 ans
Y63,63 ans
Y64,64 ans
Y_LT65,Moins de 65 ans
Y65,65 ans
Y65-69,De 65 à 69 ans
Y65-74,De 65 à 74 ans
Y65-79,De 65 à 79 ans
Y65-84,De 65 à 84 ans
Y65-89,De 65 à 89 ans
Y_GE65,65 ans ou plus
Y66,66 ans
Y67,67 ans
Y68,68 ans
Y69,69 ans
Y70,70 ans
Y70-74,De 70 à 74 ans
Y_GE70,70 ans ou plus
Y71,71 ans
Y72,72 ans
Y73,73 ans
Y74,74 ans
Y_LT75,Moins de 75 ans
Y75,75 ans
Y75-79,De 75 à 79 ans
Y75-84,De 75 à 84 ans
Y75-89,De 75 à 89 ans
Y_GE75,75 ans ou plus
Y76,76 ans
Y77,77 ans
Y78,78 ans
Y79,79 ans
Y80,80 ans
